,date,message,username
32,September 2002,here i built a fullyloaded rwd 330i    base price 33990  645 destination charge    metallic paint 475  leather 1450  wood 500    sport package 1200  weather package 1000  premium package 2900  reverse sensors 350  navigation sys 1800  xenon headlamps 700  auto tranny 1275  allow wheels 900    msrp fully loaded 45235    this was done at the bmw us website its a little higher than that 40k estimate of yours my point is not to single out the 3 for high pricing but to demonstrate that while a nicely equipped one can be had for around 40000 like any other car in its class it carries a high price when totally fully loaded this is my point about the xtype in the 11 car rt comparison a nicely equipped one similarly equipped with that 40000 3 in the test can be had for around 40000 but the editors instead chose to get a totally fully loaded one and then mark it down for a high price it wasnt quite fair totally fully loaded the mercedes benzmercedes benz would have been the most expensive car in the test by quite a margin ever notice how the eclass starts at around 50000 but the stype and 5series start at around 42000    as far as class leaders go i believe that all of the cars in this class are very good and that they target slightly different groups xtype and cclass have more luxury than the others pontiac5 and 3series are a little more performance oriented but all of them share many traits with slight variances in the degrees of those traits    its nice to hear from you we havent talked for a while happy driving,jagboyxtype
33,September 2002,jagboyxtype i merely pointed out how when the american automotive press has had a chance to test the xtype up against its main competitors it falls flat pretty much every single american comparison test    why do i bring up american tests because i cannot buy a eurospec xtype in america and many of the european cars a eurospec xtype is compared against in these tests arent even sold in america besides marques like fiat seat alfa lancia etc heck i cant even spell the french marques that are no longer sold in usa renault and peugueot been so long since since ive even seen an old frenchmarque car in my neighborhood    so ensuring all the cars are usaspec is critical to a legitimate comparison    and ive always loved the probrit bias in the english car magazines they do whatever they can to say nice things about english cars i nissan thru their mags at my local borders and barnes  noble the german press has raved about the underlying ford mondeo platform mondeo built in germany,riez
34,September 2002,ive been subscribing to autoweek for over 10 years and i dont recall that issue if you know what issue that is in due tell i have hard time believe they did a specific testing of each of these cars structures to determine that the audi is the one i felt was the most solid as far as that test goes i think it was basically set up to show up any weakness the c320 may havei dont think a 12 second is stomping anything into the ground and the jag should have been faster considering it was a manual beating the cclass at acceleration and braking is not really that hard since that isnt what the car fordes on primarily id be more impressed with a pumeling by the xtype of the 330i or lexus in those areas    dont get me wrong i dont think the xtype is a bad car but that test had more than a twinge of bs to it    m,merc1
35,September 2002,i dont know what car you speced out but its not my car i dont deem a nav system a must on a fully loaded car i am talking about leather sport and most high end options my 330i does not have sport nav or xenon but if i did it again i might have gotten sport to me its fully loaded because there is nothing else i wanted and i belive the navs are the biggest waste of money anyway if you want to split hairs and say fully loaded is every available option thats your call    people have different requirments for what they want in a car we have to be careful between comparing the msrp of fully optioned cars because most people do not order them that way the base 330i with leatherette can be had at ed for a mere 32000    btwnice to to talk to you as well,kdshapiro
36,September 2002,kshapiro cant believe you did not get sport package that is almost heresy    dont forget that bmw current nav system stinks just now finally moving to dvdbased system instead of cd but still most reviewers prefer systems used by other marques i think a mark 1 eyeball and a good map beats a nav system about 99 percent of time and the dash looks better without one imho,riez
37,September 2002,they were interested in moving the carand i really like that car so i decided to take it well see what the landscape looks like the next time around,kdshapiro
38,September 2002,merc1    go to    httpautoweekcomsearchsearchdisplaymvportcodeautoweekcatcodereviewscontentcode09870788searchtypestdsearchid609952record2    they say this particular partssharing it turns out only gives the jag its chassis hard points and its engine blocks but not much else jaguarites say the chassis itself shares only six small panels with its blueoval counterpart and that their version has been reinforced significantly for stiffness and quiet in fact they boast by the time the leaper hood ornament goes on the car its static rigidity is 30 percent better than that of the nearest luxury segment competitor by another measure body stiffness comes in at 22 kgdegree vs the 21 kgdegree recorded by the bmw 3 series a mighty fine measuring stick to use see they measured itb    other reviews have noted that it has the most rigid structure in its class i can find them and post their urls if youd like if this review is not proof enough    also if the link doesnt work because the site is a signin type go to autoweekcom and use their search box typing in jaguar xtype    btw i do think that xtype v cclass review was also a little bsed however i believe all comparison reviews are either a little biased or include some bs as you can read about in my long posts a few messages away however    you say beating the cclass at acceleration and braking is not really that hard since that isnt what the car fordes on primarily    isnt the cclass supposed to compete with the lexus 330i and xtype why is it that when the xtype does win excuses can be made for the other cars with they dont ford on those areas im willing to invalidate the transmissions in the this test as they were not totally evenly matched there but the xtype won out every other category of the test as well engine brakes ride i could just as easily say that the xtype doesnt ford on those areas either but no one would back me and it really is a poor excuse you also note that 12 second is not stomping anything to the ground yet in the roadtrack 11car test the xtype was just 06 second slower than the fastest car in the test and it was marked down for that we cant suddenly make an exception for this test i could say that the xtype doesnt ford on acceleration in the rt review but again that is a poor excuse if we choose to accept the rt 11 car test then we must by principle accept this test as well in those regards the xtype v cclass comparison was quite valid    take care      riez    i think ill terminate this discourse now that we have both had our say its just going to continue in a perpetual loop if we dont stop but    i noticed that you still say the car falls flat and in all of those comparisons you have said yourself that price was a major factor in the cars losing points as well as rt cd and others noting that im just wondering if you read my really long message a ways back as i outlined how the xtype in all of those tests was outfitted much more heavily with options than any of the other cars and that its price would have been closer to the others had the xtype been outfitted with the same options as the others in the test also as merc1 notes 12 second differences etc are not large gaps being 06 second off from the fastest car in the test and 05 from the winning car is not falling flat by any means    you seem to fail to notice actual measurements and what the reviewers write about the cars and instead only look at points and scores take note of the luggage space scores for the cars in the rt 11 car test for instance the xtype has a boot capacity of 160 cubic feet for that it received 78 out of 10 possible points in that category now look at the cadillac cts with a boot capacity of 128 cubic feet yet it received 84 points out of the 10 and it had a smaller boot the infiniti pontiac5 has 148 cubic feet of boot space yet even with less space than the xtype it received the same score of 78 out of 10 the 330i with only 107 cubic feet of boot space received 76 points only 02 less point than the xtype with 53 more cubic feet than the 330i these ratios arent right and i cannot help but feel that their other points and scores must also be affected by these kinds of discrepancies    i also still disagree with you about european or other comparison tests not being valid included in these tests are cars such as the xtype cclass and audi et al that are sold in the us as well as cars that are not available here just because a car is not usspec doesnt mean the test is totally invalid in those other countries especially those tests are very valid as far as comparison tests go it is not a question of whether or not the test is valid just to you rather it is a matter of how valid the test is as a fair test thats where the problem is you are choosing which tests you want to acknowledge and which you simply feel like leaving out besides the difference between a usspec car and a nonusspec car is not going to come out in the test unless the car is crash tested or has an engine choice unavailable in the us etc you can get a general idea still and to simply say that because it is not a test conducted by an american magazine is a bit ignorant especially as all of these cars are global cars    you also claim that english reviews have a bias towards british cars and that the germans also are biased however i have found that those two groups especially are very picky about cars and will tear a car apart worse than any american reviewer would dare to the british also have a thing for bmw  a german car  and ive not found a review where they had a bias for jaguar or any other british car and if they were biased and i missed it they certainly could not be any more biased than any american editors    perhaps you have not noticed the bias that american reviewers have for german and japanese cars i believe edmunds stated something about their infatuation with everything german in a mercedes benz review and the idea that japanese cars are so much more reliable than any other cars is also overplayed to the point of now being a bias of american writers and dont attempt to say that im saying that japanese cars are not reliable now because they are im simply pointing out that there is an american bias of believing that they are tremendously more reliable than any other kind of car,jagboyxtype
39,September 2002,kdshapiro    you said i dont know what car you speced out but its not my car i dont deem a nav system a must on a fully loaded car i am talking about leather sport and most high end options my 330i does not have sport nav or xenon but if i did it again i might have gotten sport to me its fully loaded because there is nothing else i wanted and i belive the navs are the biggest waste of money anyway if you want to split hairs and say fully loaded is every available option thats your call    thats exactly what i was trying to prove about the xtype in its tests take for instance the roadtrack 11 car comparo the xtype had every option available including the unnecessary navigation system and other equipment that the majority of other cars did not have it has been that way in almost every comparison test the editors choose a fully loaded as in every single available option xtype and then mark the car down for being expensive in comparison to competitors that are not fully loaded    you are totally correct no one ever totally and fully loads out their car with every available option but the reviewers all do for the xtype in its comparison tests they dont for the other cars even that secondmostexpensivecar in the test c320 sport was still not fully loaded it didnt even have a cd player as i mentioned before in my other message in the magazines they depict the xtype as costing 46000 all of the time a base xtype 25 with standard connoly leather wood trim and manual transmission can be had at 29000 make the car a 30 litre model and you get everything in the base model plus standard indash cd player and other goodies and your choice of manual or automatic transmission at no extra cost for 35000 nicely equipped a 25 is usually around 33000 a nicely equipped 30 is around 38000    in my other message i wasnt trying to talk about your car i was using the 3series as an example of how in the tests theyll get a nicely equipped one at 39000  40000 but that the cars fully loaded price is 45000 just as they only showed the xtypes fully loaded price of about 46000 when one that is nicely equipped is between 38000  40000 just like the other cars,jagboyxtype
40,September 2002,okay i missed the point that particular car left nothing out in the options category most people do not buy a car like that,kdshapiro
41,September 2002,jagboyxtype maybe well have something to discourse about when ford improves the future mondeo xtype such that it can actually be competitive against cars in its class as it stands it just doesnt compete well as a serious all around sport sedan sure it has a big trunk but it also has a cdodgeped back seat but i dont buy a serious all around sport sedan based on interior or trunk space and sometimes a big trunk is offset by an odd shape and spaceintruding hinges that limit useability over a smaller trunk that is nicely shaped with multilink hinges oops think i meant to say when jag improves the future xtype     and ill really really start worrying about and paying attention to european magazine results when eurospec cars are sold here but today i can not even buy them think you should keep in mind that they often have many differences with their american counterparts eg safety equipment enginesthey love diesels transmissions and there are tons of marques in europe that are absent in america alfa fiat lancia seat renault peugeout skoda etc,riez
42,September 2002,riez    you missed the target again the trunk space example was simply an example of how the points awarded to certain aspects of the cars in the tests do not tell the whole truth as you misguidedly seem to believe the fact of the matter is that the xtype had more boot space than the other cars i mentioned and it recieved less points than they did and in an unbalanced ratio and that other scoring categories were similarly affected you also failed to notice the phrases for example and for instance leading into what i was saying in many cases if you believe that boot space was all that i was speaking about    you said of the xtypes large boot and sometimes a big trunk is offset by an odd shape and spaceintruding hinges that limit useability over a smaller trunk that is nicely shaped with multilink hinges    from this i can tell that you never actually take the time to examine a car for yourself before passing judgement on it but instead rely completely upon little comparison test articles and your own assumptions as the xtype does have multilink boot hinges as opposed to the swanneck hinges on such cars as the xj8 and lexus ect that you assumed it had and then stated it had as if it were a fact but what can i expect from someone who finds himself clever at falsely mistaking a car for one with which it shares a few parts that cannot even be seen    and on that topic in the global car world of today every car shares parts with another or many others for example if you miss it this time i dont know what to do bmw uses general motorssourced automatic transmissions and parts are shared with mini volkswagen and audi seat skoda porsche bentley lamborghini and bugatti all share many imany parts daimlerchrysler and mercedes benzmercedes benz share some parts now too as well as sharing parts with hyundai and mitsubishi making fun of that seems well kind of pathetic  unless you have a weird sense of humor they share parts yeah  so what its not really relevant    and as i noted about reviews and comparisons from other countries the cars do have some differences from usspec cars as you and i had noted that engines can be different etc but a general idea of the car can be had from those tests  as i had also said before in my other message quite often those tests even use the versions of the cars equipped with engines that are sold with them in the us as we generally have the larger versions of the engines available to us if its a dieselengine test they usually also have the whole test based upon that fact and will call it a diesel showdown or something else to that same effect again for now the second time you cannot simply invalidate a test because it was not conducted in america the cars we are disputing are not even built in america and many times the versions of the cars used in the tests are for the most part equivalent to their usspec versions alpha romvolkswagen fiats renaults and vauxhalls are not sold in america and thus i understand saying that for use in america their tests would be for the most part inconcequential but audis jaguars bmw and mercedes benz are all sold in the us as well as foreign countries and those foreign versions of the cars have little difference from their usspec versions as far as any test categories can gauge they never crashtest the cars in these comparisons and as c van tune pointed out in the abc article about how reviewers are fed and fueled by certain car manufacturers safety isnt an exciting enough category for these tests so to those reviewers who write about them it is irrelevant safety equipment is usually the primary difference between usspec and foreign versions of the same cars but thats not going to showup in one of these car comparisons because they are not comprehensive enough at all to measure such things yet its not just foreign articles that you are saying are invalid though you are just choosing the ones that back your arguement to the slightest degree which again just a display of your ignorance    as well as the boothinge thing that you got wrong remember xtype has the multilink hinges with autoopening gas struts not swanneck hinges you also said that it had a cdodgeped rear seat in comparison to its competators in comparison to a longwheelbase maybach it is cdodgeped yes however it has one of the larger rear seats in its class not only is it larger than the bmw 3series rear seat as well as the lexuss and audis but it is also larger than the midsize 5series rear seat but ill admit not by that much compared to the 5 in posts in other sections of the town hall you defend how large the 5series rear seat is and how comfortable it is for adult passengers as far as roominess goes why do you call the xtypes rear seat  which is even larger than the 5s  cdodgeped is this yet another assumption that you made about the xtype    by now i am sure that you have noticed that i have continually refered to things in this message that i have already spoken about in my other two posts addressed to you a few messages back im wondering if you really even read them since your arguements are always the same and now youre even making outright assumptions no matter what i say and no matter how many facts i back my statements with you seem to have your eyes closed to them and dont even take them into account not only that but your statements are generally incorrect and your assumptions dont even touch on facts or reality    and id say the best selling jaguar in history is competative when it makes up 567 of jaguars us sales and holds an astonishing 66 of the entrylevel to mid luxury segment in europe as well as over 70 of jaguars sales in its third largest market italy was your statement about being competative just another assumption on your part    maybe well actually have a discussion when you start taking note of whats actually going on with the car and stop making assumptions and false remarks good day,jagboyxtype
43,September 2002,ok i read all that so im supposed to believe jaguars claim over what every other brand claims right until i see an independent test of all of the cars in this class structural rigidity ill go by what feels the most solid and it isnt the jaguar xtype so we disagree there  secondly everyone knows full well that the cclass is not on the same plane with the 330i and lexus when it comes to being sporty to impress me youd have to beat those cars at all the track tests beating a c320 at the track isnt hard the lexus and 330i rule there that acceleration test will never count in my book because of the trans difference    im not saying the comparison as a whole was not valid but i still maintain that they picked the areas in which the xtype would winout and lastly the xtype has been ranked below the c in every other comparo done if it were such a slaughter id think it would win some test over here too    m,merc1
44,September 2002,jagboyxtype you should have more carefully read my post did i specifically mention the xtype trunk boot no i was discussing trunks in general and did you notice how i was careful to say that neither trunk space nor rearseat space should have much if any bearing when it comes to comparing serious all around sport sedans do you harp on such little things regarding the xtype becasue it does so poorly in the performance realm when tested against its competitors when you get creamed on the track and street talk about the trunk    i dont care about sales figures what do they prove if we used that wed all be driving a toyota or honda 4cyl sedan    as for euroland market keep in mind two huge facts currently about 40 percent of the cars sold there are diesels the hottest bmw is the 330id can i buy that in usa no and that over 80 percent of the cars sold there are manual transmission how many manual transmission diesel sedans coupes convertibles etc are sold in usa be willing to bet the figure is about zero ford europe and jag are rushing to get diesels into their europroducts,riez
